id,nb_publis,acronym_s,label_s,type_s,address_s,url_s
1088770,0,ERIAC,Equipe de Recherche Interdisciplinaire sur les Aires Culturelles [ERIAC],laboratory,17 rue Lavoisier - 76821 Mont Saint Aignan cedex,http://eriac.univ-rouen.fr/
1088773,0,Glyco-MEV,Laboratoire de Glycobiologie et Matrice Extracellulaire Végétale [Glyco-MEV],laboratory,"2, rue Lucien Tesnières 76821 Mont-Saint-Aignan cedex",http://glycomev.univ-rouen.fr/index.html
1088774,0,GRHis,Groupe de Recherche d’Histoire [GRHis],laboratory,UFR des Lettres et Sciences Humaines - Rue Lavoisier - 76821 Mont-Saint-Aignan Cedex,https://grhis.univ-rouen.fr/grhis/?page_id=1577
1088710,0,STI - LITIS,Equipe Systèmes de Transport Intelligent [STI - LITIS],researchteam,,http://www.litislab.fr/equipe/sti/
1088711,0,DocApp - LITIS,Equipe Apprentissage  [DocApp - LITIS],researchteam,,http://www.litislab.fr/equipe/app/
1088712,0,MIND - LITIS,"Equipe Multi-agent, Interaction, Décision [MIND - LITIS]",researchteam,,http://www.litislab.fr/equipe/mind/
1088713,0,QuantIF-LITIS,Equipe Quantification en Imagerie Fonctionnelle [QuantIF-LITIS],researchteam,,http://www.litislab.fr/equipe/quantif/
1088715,0,RI2C - LITIS,Equipe Réseaux d'interactions et Intelligence Collective [RI2C - LITIS],researchteam,,http://www.litislab.fr/equipe/ri2c/
1088776,1,GRHVN,Groupe de Recherche sur le Handicap Ventilatoire et Neurologique [GRHVN],laboratory,"22, boulevard Gambetta - 76183 Rouen cedex",http://recherche.univ-rouen.fr/grhvn-groupe-de-recherche-sur-le-handicap-ventilatoire-et-neurologique-ur-3830-679272.kjsp?RH=1376988464263
244137,1,NKLPMG,National Key Laboratory of Plant Molecular Genetics [NKLPMG],laboratory,"300 Feng Lin Road, Shanghai 200032, China",http://www.nlpmg.ac.cn/en_about.php
1088756,0,NorDic,"Neuroendocrine, Endocrine and Germinal Differentiation Communication [NorDic]",laboratory,Place Emile Blondel - Faculté des Sciences et Techniques - 76821 Mont-Saint-Aignan Cedex,
1088759,0,DYLIS,Dynamique du Langage In Situ [DYLIS],laboratory,"17, rue Lavoisier - 76821 Mont Saint Aignan Cedex",https://dylis.univ-rouen.fr/
1088762,0,DynaMicURe,Dynamique Microbienne associée aux Infections Urinaires et Respiratoires [DynaMicURe],laboratory,22 Boulevard Gambetta - 76183 ROUEN CEDEX,http://recherche.univ-rouen.fr/dynamicure-dynamique-microbienne-associee-aux-infections-urinaires-et-respiratoires-umr-1311-632884.kjsp?RH=1376988464263
1088766,1,DySoLab,Laboratoire des Dynamiques Sociales [DySoLab],laboratory,Place Émile Blondel - 76130 Mont-Saint-Aignan,https://dysolab.hypotheses.org/
